bmarlowe@hbright.com,camper1,Ben,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
mmarlowe@hbright.com,camper2,Michael,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
timarlowe@hbright.com,camper3,Tim,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
gmarlowe@hbright.com,camper4,Garrick,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
melmarlowe@hbright.com,camper5,Mel,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
tommarlowe@hbright.com,camper6,Tom,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
nmarlowe@hbright.com,camper7,Nick,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
dmarlowe@hbright.com,camper8,Dan,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
tdmarlowe@hbright.com,camper9,Todd,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
brmarlowe@hbright.com,camper10,Brian,Marlowe,static/images/profpics/camper_photo.jpg,http://localhost:5000/static/images/profpics/camper_photo.jpg
