mruffalo@hbright.com,lender1,Mark,Ruffalo,static/images/profpics/mruffalo.jpg,http://localhost:5000/static/images/profpics/mruffalo.jpg
reesew@hbright.com,lender2,Reese,Witherspoon,static/images/profpics/rwitherspoon.jpg,http://localhost:5000/static/images/profpics/rwitherspoon.jpg
hjackman@hbright.com,lender3,Hugh,Jackman,static/images/profpics/hjackman.jpg,http://localhost:5000/static/images/profpics/hjackman.jpg
seanp@hbright.com,lender4,Sean,Penn,static/images/profpics/spenn.jpg,http://localhost:5000/static/images/profpics/spenn.jpg
vhudgens@hbright.com,lender5,Vanessa,Hudgens,static/images/profpics/vhudgens.jpg,http://localhost:5000/static/images/profpics/vhudgens.jpg
shilpad@hbright.com,lender6,Shilpa,Dutta,static/images/profpics/sdutta.jpg,http://localhost:5000/static/images/profpics/sdutta.jpg
slittle@hbright.com,lender7,Stuart,Little,static/images/profpics/slittle.jpg,http://localhost:5000/static/images/profpics/slittle.jpg
mscott@hbright.com,lender8,Michael,Scott,static/images/profpics/mscott.jpg,http://localhost:5000/static/images/profpics/mscott.jpg
mpalmer@hbright.com,lender9,Mereditch,Palmer,static/images/profpics/mpalmer.jpg,http://localhost:5000/static/images/profpics/mpalmer.jpg
pamb@hbright.com,lender10,Pam,Beesly,static/images/profpics/pbeesly.jpg,http://localhost:5000/static/images/profpics/pbeesly.jpg
rainnwilson@hbright.com,lender11,Rainn,Wilson,static/images/profpics/rainnw.jpg,http://localhost:5000/static/images/profpics/rainnw.jpg
dwight@hbright.com,lender12,Dwight,Schrute,static/images/profpics/dschrute.jpg,http://localhost:5000/static/images/profpics/dschrute.jpg
bjnovak@hbright.com,lender13,BJ,Novak,static/images/profpics/bjnovak.jpg,http://localhost:5000/static/images/profpics/bjnovak.jpg
annieclark@hbright.com,lender14,Annie,Clark,static/images/profpics/aclark.jpg,http://localhost:5000/static/images/profpics/aclark.jpg
kellyk@hbright.com,lender15,Kelly,Kapoor,static/images/profpics/kkapoor.jpg,http://localhost:5000/static/images/profpics/kkapoor.jpg
